dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
mfeat-karhunen,TensorContracted,0.87,0.965,0.875
mfeat-karhunen,TensorConFormer,0.865,0.965,0.88
mfeat-karhunen,Transformed,0.525,0.965,0.52
mfeat-karhunen,TensorConFormerEnc,0.85,0.965,0.865
mfeat-karhunen,TensorConFormerDec,0.845,0.965,0.855
mfeat-fourier,VAE,0.75,0.865,0.805
mfeat-fourier,TensorContracted,0.705,0.865,0.72
mfeat-fourier,TensorConFormer,0.765,0.865,0.76
mfeat-fourier,Transformed,0.43,0.865,0.435
mfeat-fourier,TensorConFormerEnc,0.74,0.865,0.735
mfeat-fourier,TensorConFormerDec,0.76,0.865,0.76
mfeat-factors,VAE,0.915,0.975,0.925
mfeat-factors,TensorContracted,0.88,0.975,0.895
mfeat-factors,TensorConFormer,0.91,0.975,0.925
mfeat-factors,Transformed,0.38,0.975,0.38
mfeat-factors,TensorConFormerEnc,0.915,0.975,0.93
mfeat-factors,TensorConFormerDec,0.895,0.975,0.91
mfeat-pixel,VAE,0.875,0.965,0.87
mfeat-pixel,TensorContracted,0.44,0.965,0.445
mfeat-pixel,TensorConFormer,0.585,0.965,0.595
mfeat-pixel,Transformed,0.035,0.965,0.03
mfeat-pixel,TensorConFormerEnc,0.595,0.965,0.585
mfeat-pixel,TensorConFormerDec,0.54,0.965,0.545
kc1,VAE,0.7962085308056872,0.8720379146919431,0.8388625592417062
kc1,TensorContracted,0.8104265402843602,0.8720379146919431,0.8530805687203792
kc1,TensorConFormer,0.7772511848341233,0.8720379146919431,0.7819905213270142
kc1,Transformed,0.8436018957345972,0.8720379146919431,0.8862559241706162
kc1,TensorConFormerEnc,0.8341232227488151,0.8720379146919431,0.8578199052132701
kc1,TensorConFormerDec,0.8341232227488151,0.8720379146919431,0.8672985781990521
segment,VAE,0.8787878787878788,0.935064935064935,0.8744588744588745
segment,TensorContracted,0.8441558441558441,0.935064935064935,0.8658008658008658
segment,TensorConFormer,0.8095238095238095,0.935064935064935,0.8181818181818182
segment,Transformed,0.7056277056277056,0.935064935064935,0.70995670995671
segment,TensorConFormerEnc,0.8441558441558441,0.935064935064935,0.8484848484848485
segment,TensorConFormerDec,0.8354978354978355,0.935064935064935,0.8484848484848485
ozone-level-8hr,VAE,0.9291338582677166,0.9448818897637795,0.952755905511811
ozone-level-8hr,TensorContracted,0.9251968503937008,0.9448818897637795,0.9488188976377953
ozone-level-8hr,TensorConFormer,0.9409448818897638,0.9448818897637795,0.9488188976377953
ozone-level-8hr,Transformed,0.9212598425196851,0.9448818897637795,0.937007874015748
ozone-level-8hr,TensorConFormerEnc,0.9566929133858267,0.9448818897637795,0.9488188976377953
ozone-level-8hr,TensorConFormerDec,0.937007874015748,0.9448818897637795,0.937007874015748
dna,VAE,0.9122257053291536,0.9686520376175548,0.9310344827586207
dna,TensorContracted,0.8808777429467085,0.9686520376175548,0.8871473354231975
dna,TensorConFormer,0.8244514106583072,0.9686520376175548,0.8307210031347962
dna,Transformed,0.6802507836990596,0.9686520376175548,0.6865203761755486
