dataset_name,model,alpha_precision,beta_recall,authenticity
texture,TensorContracted,0.975279296410744,0.29525394184296,0.6401236035179463
texture,TensorConFormer,0.955898898660962,0.3406386181760559,0.6092227240313762
texture,Transformed,0.589018302828619,0.0696458283812692,0.868314713572617
texture,TensorConFormerEnc,0.9600982489501624,0.2760795499564218,0.6579510339909674
texture,TensorConFormerDec,0.9571190872355596,0.3256318833689883,0.6206322795341098
optdigits,VAE,0.2397301698069317,0.0012250911064588,0.989997673877646
optdigits,TensorContracted,0.2534853066604637,0.0011785686593782,0.9820888578739242
optdigits,TensorConFormer,0.6996820966116151,0.0312010545088005,0.8934635961851594
optdigits,Transformed,0.0739396758936187,0.0,1.0
optdigits,TensorConFormerEnc,0.2544777855315191,0.0017213305419865,0.9923237962316818
optdigits,TensorConFormerDec,0.8063890827324184,0.0390943630301621,0.8955571063037916
first-order-theorem-proving,VAE,0.8104474899302485,0.0110541310541308,0.8450854700854701
first-order-theorem-proving,TensorContracted,0.9389296591020728,0.0137891737891737,0.9205128205128204
first-order-theorem-proving,TensorConFormer,0.661994301994302,0.0172507122507123,0.8021367521367522
first-order-theorem-proving,Transformed,0.8865026033991551,0.0035470085470084,0.9264957264957264
first-order-theorem-proving,TensorConFormerEnc,0.9622477650063856,0.0116381766381766,0.9284188034188036
first-order-theorem-proving,TensorConFormerDec,0.6921794871794872,0.0212820512820514,0.8416666666666667
satimage,VAE,0.9047309204283585,0.4355971262030635,0.5656771045140301
satimage,TensorContracted,0.9176901179341196,0.6243594957299716,0.4772265148434323
satimage,TensorConFormer,0.9046224752609462,0.6200488003253355,0.4812932086213908
satimage,Transformed,0.3909041615832993,0.1729971533143554,0.741968279788532
satimage,TensorConFormerEnc,0.9180018977904296,0.6219737020469025,0.4908499389995933
satimage,TensorConFormerDec,0.9061949301884236,0.6122543039175816,0.4735664904432696
GesturePhaseSegmentationProcessed,VAE,0.8703919491525424,0.1084127824858758,0.5737552966101694
GesturePhaseSegmentationProcessed,TensorContracted,0.8615995762711864,0.2150600282485874,0.5413135593220338
GesturePhaseSegmentationProcessed,TensorConFormer,0.7486758474576272,0.2652454096045199,0.5452860169491526
GesturePhaseSegmentationProcessed,Transformed,0.4837923728813559,0.0643273305084746,0.5933527542372882
GesturePhaseSegmentationProcessed,TensorConFormerEnc,0.8466719632768361,0.2053937146892654,0.5685911016949152
GesturePhaseSegmentationProcessed,TensorConFormerDec,0.7760504943502825,0.2707538841807911,0.5481991525423728
jm1,VAE,0.916808722710468,0.138818159980783,0.6662262791256306
jm1,TensorContracted,0.8881744210767544,0.1861317959804629,0.6306749939947154
jm1,TensorConFormer,0.8277284009928738,0.3178156777964609,0.5606533749699736
jm1,Transformed,0.8505771975890508,0.0861798382576668,0.6643045880374729
jm1,TensorConFormerEnc,0.9209456045457934,0.1635839538794138,0.6471294739370647
jm1,TensorConFormerDec,0.848625134946339,0.3562895347906156,0.5980062454960365
pendigits,VAE,0.353964478274659,0.0018474468759909,0.9790675547098002
pendigits,TensorContracted,0.4565413891531874,0.0079051696796702,0.9753805899143672
pendigits,TensorConFormer,0.832278782112274,0.0668886774500475,0.8411037107516651
pendigits,Transformed,0.3738740881699967,0.0031715826197272,0.9900095147478593
pendigits,TensorConFormerEnc,0.4784015223596574,0.0101728512527753,0.951593720266413
pendigits,TensorConFormerDec,0.850848398350777,0.0622978116079924,0.8210038058991437
PhishingWebsites,VAE,0.950162572450766,0.4075685903500473,0.6977294228949859
PhishingWebsites,TensorContracted,0.9315436770734784,0.4496294544307788,0.6676915799432356
PhishingWebsites,TensorConFormer,0.9529602866494852,0.4393724377168085,0.6719489120151372
PhishingWebsites,Transformed,0.862365293228504,0.3054872280037843,0.77081362346263
PhishingWebsites,TensorConFormerEnc,0.9301482182276885,0.4491012298959318,0.6665089877010407
PhishingWebsites,TensorConFormerDec,0.9117549668874172,0.4645064648375907,0.64120151371807
letter,VAE,0.9379520697167756,0.0405272331154685,0.9120261437908496
letter,TensorContracted,0.8892679738562091,0.057516339869281,0.8873202614379085
letter,TensorConFormer,0.7865838779956427,0.0812897603485839,0.8407843137254902
letter,Transformed,0.519355119825708,0.0202004357298475,0.9696732026143792
letter,TensorConFormerEnc,0.9087015250544662,0.0492941176470587,0.9011764705882352
letter,TensorConFormerDec,0.7825141612200435,0.0724444444444445,0.8496732026143791
nomao,VAE,0.8693366118003013,0.0372387635122321,0.807851318035274
nomao,TensorContracted,0.8650788772122567,0.0496162842151842,0.8089891902142993
nomao,TensorConFormer,0.8358101017763448,0.1646779189582147,0.6996396738099754
nomao,Transformed,0.4628358303306151,0.0298729376066755,0.923534989569505
nomao,TensorConFormerEnc,0.8384880686908585,0.0415070484859979,0.8053479992414185
